Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
multisegmental right lower lobe opacities consistent with atelectatic and / or consolidated lung .,,,,,1,,1,,-1,,,,,
multisegmental right lower lobe opacity is consistent with consolidated lung .,,,,,1,,1,,,,,,,
"multisegmental right lower lobe opacity is present , consistent with atelectatic and / or consolidated lung .",,,,,1,,1,,-1,,,,,
multisegmental right upper lobe consolidation is present .,,,,,,,1,,,,,,,
multisegmental-size parenchymal opacity projects over the left lung base .,,,,,1,,,,,,,,,
multisegmental-size patchy bilateral parenchymal opacities may represent multifocal infectious process or acute lung injury edema .,,,,,1,1,,-1,,,,,,
multisegmental-sized parenchymal opacity in the left lung base is favored to represent atelectasis .,,,,,1,,,,1,,,,,
nasal cannula is present .,1,,,,,,,,,,,,,1
"nasogastric tube , right ij catheter and picc line or adequate position .",1,,,,,,,,,,,,,1
"near complete opacification of the right hemithorax which may represent pleural effusion or parenchymal consolidation , or a combination thereof .",,,,,1,,-1,,,,-1,,,
negative pneumothorax .,,,,,,,,,,1,,,,
neuro stimulator device overlies a left chest .,1,,,,,,,,,,,,,1
ng tube is below the diaphragm .,1,,,,,,,,,,,,,1
ng tube tip is below the diaphragm .,1,,,,,,,,,,,,,1
ng tube tip is in the stomach .,1,,,,,,,,,,,,,1
no acute cardiopulmonary findings .,1,,,,,,,,,,,,,
no acute displaced rib fracture is identified .,1,,,,,,,,,,,,0,
no acute displaced rib fractures are identified .,1,,,,,,,,,,,,0,
no acute fracture .,1,,,,,,,,,,,,0,
no acute fracture is present .,1,,,,,,,,,,,,0,
no acute osseous abnormalities .,1,,,,,,,,,,,,,
no acute osseous abnormalities are noted .,1,,,,,,,,,,,,,
no acute osseous abnormalities are present .,1,,,,,,,,,,,,,
no acute osseous abnormalities are seen .,1,,,,,,,,,,,,,
no acute osseous abnormalities noted .,1,,,,,,,,,,,,,
no acute osseous abnormalities present .,1,,,,,,,,,,,,,
no acute osseous abnormalities seen .,1,,,,,,,,,,,,,
no acute osseous abnormality .,1,,,,,,,,,,,,,
no acute osseous abnormality although chronic fracture noted in the ribs bilaterally .,,,,,,,,,,,,,1,
no acute osseous abnormality identified .,1,,,,,,,,,,,,,
no acute osseous abnormality identified although overlying soft tissue limits evaluation .,1,,,,,,,,,,,,,
no acute osseous abnormality is identified .,1,,,,,,,,,,,,,
no acute osseous abnormality is noted .,1,,,,,,,,,,,,,
no acute osseous abnormality is present .,1,,,,,,,,,,,,,
no acute osseous abnormality noted .,1,,,,,,,,,,,,,
no acute osseous abnormality other than minimally displaced fracture in the right lateral ribs .,,,,,,,,,,,,,1,
no acute osseous abnormality seen .,1,,,,,,,,,,,,,
no acute osseous findings .,1,,,,,,,,,,,,,
no acute osseous findings noted .,1,,,,,,,,,,,,,
no acute osseous lesions are seen .,1,,,,,,,,,,,,,
no acute osseous lesions noted .,1,,,,,,,,,,,,,
no acute osseous lesions seen .,1,,,,,,,,,,,,,
no acute parenchyma or pleural abnormalities .,1,,,,,,,,,,,,,
no acute parenchyma or pleural findings .,1,,,,,,,,,,,,,
no acute parenchymal abnormality .,1,,,,,,,,,,,,,
no acute parenchymal or pleural findings .,1,,,,,,,,,,,,,
no acute pleural abnormality .,1,,,,,,,,,,,,,
no acute pulmonary parenchyma or pleural space abnormality is present .,1,,,,,,,,,,,,,
no acute pulmonary parenchyma or pleural space process is present .,1,,,,,,,,,,,,,
no acute pulmonary parenchymal process is present .,1,,,,,,,,,,,,,
no acute rib fractures are identified .,1,,,,,,,,,,,,0,
no aggressive osseous lesions are seen .,1,,,,,,,,,,,,,
no aggressive osseous lesions seen .,1,,,,,,,,,,,,,
no consolidation .,1,,,,,,0,,,,,,,
no consolidation identified .,1,,,,,,0,,,,,,,
no consolidation in left lung .,1,,,,,,0,,,,,,,
no consolidation in the left hemithorax .,1,,,,,,0,,,,,,,
no consolidation in the left lung .,1,,,,,,0,,,,,,,
no consolidation in the right lung .,1,,,,,,0,,,,,,,
no consolidation is seen .,1,,,,,,0,,,,,,,
no consolidation or mass in the left lung .,1,,,0,,,0,,,,,,,
no consolidation or mass in the right lung .,1,,,0,,,0,,,,,,,
no consolidation or pleural effusion .,1,,,,,,0,,,,0,,,
no consolidation or pleural effusion identified .,1,,,,,,0,,,,0,,,
no consolidation or pleural effusion in the left lung .,1,,,,,,0,,,,0,,,
no consolidation or pleural effusion visualized .,1,,,,,,0,,,,0,,,
no consolidation or pleural fluid is present .,1,,,,,,0,,,,0,,,
no consolidation or pulmonary contusion is identified .,1,,,,,,0,,,,,,,
no consolidation or pulmonary edema in the right lung .,1,,,,,0,0,,,,,,,
no consolidation or right pleural effusion .,1,,,,,,0,,,,0,,,
no consolidation parenchymal opacities .,1,,,,0,,0,,,,,,,
no consolidative .,1,,,,,,0,,,,,,,
no consolidative opacities .,1,,,,0,,0,,,,,,,
no consolidative opacity .,1,,,,0,,0,,,,,,,
no consolidative parenchymal opacities .,1,,,,0,,0,,,,,,,
no consolidative parenchymal opacity .,1,,,,0,,0,,,,,,,
no definite consolidation .,1,,,,,,0,,,,,,,
no definite consolidation identified .,1,,,,,,0,,,,,,,
no definite consolidation or pleural effusion identified .,1,,,,,,0,,,,0,,,
no definite effusion .,1,,,,,,,,,,0,,,
no definite effusion or pneumothorax .,1,,,,,,,,,0,0,,,
no definite effusions .,1,,,,,,,,,,0,,,
no definite effusions or pneumothorax .,,,,,,,,,,1,0,,,
no definite effusions or pneumothorax although the right costophrenic angle is not included .,1,,,,,,,,,0,0,,,
no definite effusions or pneumothorax although the right costophrenic angle is not included on the film .,1,,,,,,,,,0,0,,,
no definite large pleural effusion .,1,,,,,,,,,,0,,,
no definite left pleural effusion .,1,,,,,,,,,,0,,,
no definite pleural effusion .,1,,,,,,,,,,0,,,
no definite pleural effusion identified .,1,,,,,,,,,,0,,,
no definite pleural effusion is identified .,1,,,,,,,,,,0,,,
no definite pleural effusion visualized .,1,,,,,,,,,,0,,,
no definite pneumothorax .,1,,,,,,,,,0,,,,
no definite pneumothorax identified .,1,,,,,,,,,0,,,,
no definite pulmonary consolidation .,1,,,,,,0,,,,,,,
no definite pulmonary edema .,1,,,,,0,,,,,,,,
no definite septal lines to suggest pulmonary edema .,,,,,,1,,,,,,,,0
no definitely visualized pneumothorax .,1,,,,,,,,,0,,,,
no displaced rib fracture .,1,,,,,,,,,,,,0,
no displaced rib fracture identified .,,,,,,,,,,,,,1,
no displaced rib fracture identified although not well evaluated on single view chest exam .,1,,,,,,,,,,,,0,
no displaced rib fracture is identified .,1,,,,,,,,,,,,0,
no displaced rib fractures are identified .,1,,,,,,,,,,,,0,
no displaced rib fractures are identified radiographically .,1,,,,,,,,,,,,0,
no displaced rib fractures are visualized .,1,,,,,,,,,,,,0,
no effusion or pneumothorax .,1,,,,,,,,,0,0,,,
no effusions .,1,,,,,,,,,,0,,,
no effusions or no pneumothorax .,1,,,,,,,,,0,0,,,
no effusions or pneumothorax .,1,,,,,,,,,0,0,,,
no effusions trace right effusion .,,,,,,,,,,,1,,,
no focal consolidation .,1,,,,,,0,,,,,,,
no focal consolidation or pleural effusion .,1,,,,,,0,,,,0,,,
no focal consolidative opacity .,,,,,1,,1,,,,,,,
no focal dense consolidation .,1,,,,,,0,,,,,,,
no given effusions or pneumothorax .,1,,,,,,,,,0,0,,,
no heart size .,1,,0,,,,,,,,,,,
no intra thoracic devices are present .,1,,,,,,,,,,,,,0
no large bilateral pleural effusions .,1,,,,,,,,,,0,,,
no large left pleural effusion .,1,,,,,,,,,,0,,,
no large pleural effusion .,1,,,,,,,,,,0,,,
no large pneumothorax .,1,,,,,,,,,0,,,,
no left consolidation or pleural effusion .,1,,,,,,0,,,,0,,,
no left pleural effusion .,1,,,,,,,,,,0,,,
no left pleural fluid is present .,1,,,,,,,,,,0,,,
no left pneumothorax .,1,,,,,,,,,0,,,,
no lung consolidation is present .,1,,,,,,0,,,,,,,
no lung consolidation or left pleural fluid is present .,1,,,,,,0,,,,0,,,
no lung consolidation or pleural fluid is present .,1,,,,,,0,,,,0,,,
no lung edema is present .,1,,,,,0,,,,,,,,
no lung edema or pleural fluid is present .,1,,,,,0,,,,,0,,,
no lytic or blastic osseous lesions seen .,1,,,,,,,,,,,,,
no mediastinal widening .,1,,,,,,,,,,,,,
no osseous abnormalities present .,1,,,,,,,,,,,,,
no osseous abnormality .,1,,,,,,,,,,,,,
no osseous abnormality is present .,1,,,,,,,,,,,,,
no osseous process is present .,1,,,,,,,,,,,,,
no parenchyma or pleural space process is present in the left hemithorax .,1,,,,,,,,,,,,,
no parenchymal abnormality is present .,1,,,,,,,,,,,,,
no parenchymal opacity .,1,,,,0,,,,,,,,,
no parenchymal or pleural space abnormality is present .,1,,,,,,,,,,,,,
no pleural abnormality .,1,,,,,,,,,,,,,
no pleural effusion .,1,,,,,,,,,,0,,,
no pleural effusion identified .,1,,,,,,,,,,0,,,
no pleural effusion on the left .,1,,,,,,,,,,0,,,
no pleural effusion or pneumothorax .,1,,,,,,,,,0,0,,,
no pleural effusions .,1,,,,,,,,,,0,,,
no pleural effusions or large pneumothoraces .,1,,,,,,,,,0,0,,,
no pleural effusions or pneumothorax .,,,,,,,,,,1,0,,,
no pleural fluid accumulation is present .,1,,,,,,,,,,0,,,
no pleural fluid is present .,1,,,,,,,,,,0,,,
no pleural space abnormality is present .,1,,,,,,,,,,,,,
no pleural space process is present .,1,,,,,,,,,,,,,
no pneumomediastinum is identified .,1,,,,,,,,,,,,,
no pneumothorax .,1,,,,,,,,,0,,,,
no pneumothorax given overlying chin .,1,,,,,,,,,0,,,,
"no pneumothorax identified , head position limits evaluation .",1,,,,,,,,,0,,,,
no pneumothorax identified .,1,,,,,,,,,0,,,,
no pneumothorax identified although head position limits evaluation .,1,,,,,,,,,0,,,,
no pneumothorax identified although head position limits evaluation of the apices .,1,,,,,,,,,0,,,,
no pneumothorax identified although overlying head position limits evaluation .,1,,,,,,,,,0,,,,
no pneumothorax identified radiographically .,1,,,,,,,,,0,,,,
no pneumothorax in field of view .,1,,,,,,,,,0,,,,
no pneumothorax is identified .,1,,,,,,,,,0,,,,
no pneumothorax is present .,1,,,,,,,,,0,,,,
no pneumothorax is visualized .,1,,,,,,,,,0,,,,
no pneumothorax or effusion .,1,,,,,,,,,0,0,,,
no pneumothorax or pleural effusion .,1,,,,,,,,,0,0,,,
"no pneumothorax visualized , head position limits evaluation .",1,,,,,,,,,0,,,,
no pneumothorax visualized .,1,,,,,,,,,0,,,,
no pneumothorax visualized although head position limits evaluation .,1,,,,,,,,,0,,,,
no pulmonary abnormality is present .,1,,,,,,,,,,,,,
no pulmonary consolidation .,1,,,,,,0,,,,,,,
no pulmonary consolidation or acute airspace disease .,1,,,,0,,0,,,,,,,
no pulmonary edema .,1,,,,,0,,,,,,,,
no pulmonary edema or consolidation .,1,,,,,0,0,,,,,,,
no pulmonary edema or pleural effusion .,1,,,,,0,,,,,0,,,
no pulmonary or pleural space abnormality is present .,1,,,,,,,,,,,,,
no pulmonary parenchyma or pleural space abnormality is present .,1,,,,,,,,,,,,,
no pulmonary parenchyma or pleural space abnormality is present in the left hemithorax .,1,,,,,,,,,,,,,
no pulmonary parenchyma or pleural space process is present .,1,,,,,,,,,,,,,
no pulmonary parenchyma or pleural space process is present except for subsegmental atelectasis in the left lower lobe .,,,,,,,,,1,,,,,
no pulmonary parenchymal abnormality is present .,1,,,,,,,,,,,,,
no pulmonary parenchymal or pleural space abnormality is present .,1,,,,,,,,,,,,,
no pulmonary parenchymal or pleural space process is present .,1,,,,,,,,,,,,,
no pulmonary parenchymal process is present .,1,,,,,,,,,,,,,
no right pleural effusion .,1,,,,,,,,,,0,,,
no right pleural effusion identified .,1,,,,,,,,,,0,,,
no right-sided effusion or pneumothorax .,1,,,,,,,,,0,0,,,
no segmental or lobe consolidation is present .,1,,,,,,0,,,,,,,
no significant pleural effusion .,1,,,,,,,,,,0,,,
no visualized acute osseous abnormality .,1,,,,,,,,,,,,,
"no visualized acute parenchyma or pleural findings , however evaluation is limited patient rotation .",1,,,,,,,,,,,,,
no visualized pleural abnormality .,1,,,,,,,,,,,,,
no visualized pleural effusion .,1,,,,,,,,,,0,,,
no visualized pleural effusion or pneumothorax .,1,,,,,,,,,0,0,,,
no visualized pneumothorax .,1,,,,,,,,,0,,,,
no visualized pneumothorax however the lung apices are incompletely visualized .,1,,,,,,,,,0,,,,
no visualized pneumothorax or pleural effusion .,1,,,,,,,,,0,0,,,
"no visualized pneumothorax or pleural fusion , note however the left lung apex is obscured .",1,,,,,,,,,0,,,,
no visualized pneumothorax though evaluation is limited by patient positioning .,1,,,,,,,,,0,,,,
no visualized rib fracture .,1,,,,,,,,,,,,0,
nodular area of increased density overlying the fifth anterior rib likely represents chronic fracture as there is an adjacent chronic fracture in the sixth rib .,,,,,1,,,,,,,,1,
nodular density overlies the left lower chest which could represent pulmonary nodule versus nipple shadow .,,,,1,,,,,,,,,,
nodular left mid lung zone opacity .,,,,,1,,,,,,,,,
patchy right mid lung zone opacity,,,,,1,,,,,,,,,
nodular opacities are present in the lungs .,,,,1,1,,,,,,,,,
nodular opacities are present in the right upper lobe .,,,,1,1,,,,,,,,,
nodular opacities in the right lung concerning for pulmonary nodules .,,,,1,1,,,,,,,,,
nodular opacity in the right lung base .,,,,1,1,,,,,,,,,
nodular opacity overlying the right anterior seventh rib may represent nipple shadow .,,,,1,1,,,,,,,,,
nodular opacity overlying the right mid lung could represent pulmonary nodule or nipple shadow .,,,,1,1,,,,,,,,,
nodular opacity projecting over the lateral right lung base may represent anterior rib fracture with callus formation or pulmonary nodule .,,,,1,1,,,,,,,,-1,
"nodular opacity projects over the left mid-lower hemithorax , favored to represent nipple shadow , less likely pulmonary nodule .",,,,1,1,,,,,,,,,
nodular opacity projects over the mid left hemithorax .,,,,1,1,,,,,,,,,
nodular opacity projects over the mid right lung .,,,,1,1,,,,,,,,,
nodular opacity versus rib abnormality in the left lower hemithorax .,,,,-1,-1,,,,,,,,,
nodular right lower lung zone opacity .,,,,,1,,,,,,,,,
nodular versus consolidative opacity in the periphery of the left mid lung .,,,,,1,,-1,,,,,,,
nodule at the right apex with at least some internal coarse calcification .,,,,1,,,,,,,,,,
nodule opacity projecting over the left upper lung zone maybe due to a bone island or pulmonary nodule .,,,,1,1,,,,,,,,,
nodules versus patchy consolidation at the left lung base .,,,,-1,,,1,,,,,,,
"non-segmental opacities are present in the medial upper lobes and medial right lower lung , presumably areas of consolidated lung .",,,,,1,,1,,,,,,,
non-segmental opacity in the lateral-basal left hemithorax may represent focal pleural membrane thickening or extra pleural opacity .,,,,,1,,,,,,,,,
non-segmental opacity is present in the lateral-basal right hemithorax .,,,,,1,,,,,,,,,
"non-segmental opacity is present in the peripheral and lower right lung , consistent with pulmonary mass , consolidation or atelectasis .",,,,-1,1,,-1,,-1,,,,,
normal cardiac contour .,1,0,0,,,,,,,,,,,
normal cardiac contours .,1,0,0,,,,,,,,,,,
normal cardiac mediastinal silhouette .,1,0,,,,,,,,,,,,
normal cardiac silhouette .,1,,0,,,,,,,,,,,
normal cardiomediastinal contour .,1,0,,,,,,,,,,,,
normal cardiomediastinal contours .,1,0,,,,,,,,,,,,
normal cardiomediastinal silhouette .,1,0,,,,,,,,,,,,
normal cardiomediastinal silhouette accounting for scoliosis .,,0,,,,,,,,,,,,
normal cardiomediastinal silhouette for technique .,1,0,,,,,,,,,,,,
normal chest radiograph .,1,,,,,,,,,,,,,
normal mediastinal contours .,1,0,,,,,,,,,,,,
normal mediastinal contours and cardiac contour .,1,0,0,,,,,,,,,,,
normal mediastinal silhouette .,1,0,,,,,,,,,,,,
normal mediastinum .,1,0,,,,,,,,,,,,
normal osseous structures .,1,,,,,,,,,,,,,
normal radiographic appearance of the osseus structures .,1,,,,,,,,,,,,,
notice made of a skin fold overlying the right lateral chest .,1,,,,,,,,,,,,,
numerous bilateral pulmonary nodules are seen .,,,,1,,,,,,,,,,
numerous bilateral rounded parenchymal opacities may represent consolidation or metastatic pulmonary disease .,,,,,1,,-1,,,,,,,
"obese body habitus , limiting evaluation of the lung bases .",1,,,,,,,,,,,,,
obese body habitus .,1,,,,,,,,,,,,,
obese body habitus limits evaluation of the lung bases .,1,,,,,,,,,,,,,
"obese body habitus with soft tissue overlying the lower lungs , limiting evaluation .",1,,,,,,,,,,,,,
obese body habitus with soft tissue skin folds overlying the lower lungs .,1,,,,,,,,,,,,,
object projects over the upper left hemithorax .,1,,,,,,,,,,,,,
obscure cardiac silhouette .,,,1,,,,,,,,,,,
obscured cardiac silhouette .,1,,0,,,,,,,,,,,
old healed bilateral rib fractures .,,,,,,,,,,,,,1,
old healed left lower rib fracture .,,,,,,,,,,,,,1,
old healed left mid clavicle fracture .,,,,,,,,,,,,,1,
old healed left rib fracture .,,,,,,,,,,,,,1,
old healed left rib fractures .,,,,,,,,,,,,,1,
old healed left upper rib fractures .,,,,,,,,,,,,,1,
old healed right humerus fracture .,,,,,,,,,,,,,1,
old healed right posterior fourth rib fracture .,,,,,,,,,,,,,1,
old healed right posterior rib fracture .,,,,,,,,,,,,,1,
old healed right rib fractures .,,,,,,,,,,,,,1,
one broken sternal wires present .,1,,,,,,,,,,,,,
one or possibly two right chest tubes .,1,,,,,,,,,,,,,-1
opacification of the left hemithorax maybe due to left lung collapse secondary to obstruction .,,,,,1,,,,1,,,,,
opacification of the right hemithorax maybe due to a large pleural effusion with superimposed atelectasis versus consolidation .,,,,,-1,,-1,,-1,,1,,,
opacification of the right hemithorax maybe due to effusion with adjacent atelectasis and / or consolidation .,,,,,-1,,-1,,-1,,1,,,
"opacities , consistent with consolidated lung , are likely present in the right upper and lower lungs .",,,,,1,,1,,,,,,,
"opacities , consistent with consolidation , are present in the left lower lung .",,,,,1,,1,,,,,,,
"opacities , consistent with consolidation , are present in the right upper lobe , left upper lobe and right lower lung .",,,,,1,,1,,,,,,,
opacities are present in the left upper lobe and right lower lung and may represent foci of consolidation .,,,,,1,,1,,,,,,,
opacities at the lung bases could represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
opacities at the lung bases may represent a combination of effusion and atelectasis or consolidation .,,,,,1,,-1,,-1,,-1,,,
"opacities in the bilateral perihilar region , may also represent additional sites of consolidation .",,,,,1,,1,,,,,,,
opacities in the left lung base may also represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
opacities in the left lung maybe due to atelectasis or contusion .,,,,,-1,,,,-1,,,,,
opacities in the right lung and left lower lobe likely represent consolidation .,,,,,1,,1,,,,,,,
opacities may represent consolidation or scarring .,,,,,1,,-1,,,,,,,
opacities obscure cardiac silhouette .,,,1,,1,,,,,,,,,
opacities silhouette and compromise evaluation of the mediastinum .,,1,,,1,,,,,,,,,
opacities within the left lung and right infrahilar lung represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
"opacity , consistent with consolidation , is present in the left parahilar region .",,,,,1,,1,,,,,,,
"opacity , consistent with consolidation , is present in the peripheral and lower right lung .",,,,,1,,1,,,,,,,
"opacity , consistent with consolidation , is present in the right lower lung .",,,,,1,,1,,,,,,,
"opacity , likely atelectasis , subsegmental in extent , is present in superior segment right lower lobe .",,,,,1,,,,1,,,,,
opacity at the right lung base likely represents atelectasis .,,,,,1,,,,1,,,,,
opacity in the adjacent lung is consistent with atelectatic or consolidated lung .,,,,,1,,-1,,-1,,,,,
opacity in the apical right lung may represent consolidation or mass .,,,,-1,1,,-1,,,,,,,
opacity in the basal hemithoraces is consistent with a combination of pleural fluid and consolidation and atelectasis in the lower lobes .,,,,,1,,1,,1,,1,,,
opacity in the basal hemithoraces is likely a combination of pleural fluid and adjacent lung atelectasis .,,,,,1,,,,1,,1,,,
opacity in the basal hemithoraces may represent pleural fluid .,,,,,1,,,,,,-1,,,
opacity in the basal left hemithorax is consistent with pleural thickening and / or pleural fluid .,,,,,1,,,,,,-1,-1,,
"opacity in the basal left hemithorax is likely a combination of left pleural fluid and adjacent pulmonary opacity , such as atelectatic lung .",,,,,1,,,,1,,1,,,
"opacity in the basal left hemithorax is likely a combination of pleural fluid , consolidated and / or atelectatic lung .",,,,,1,,1,,1,,-1,,,
opacity in the basal left hemithorax likely represents a combination of left pleural fluid and adjacent multisegmental atelectasis and / or consolidation,,,,,1,,1,,1,,-1,,,
opacity in the basal left hemithorax is likely a combination of pleural fluid and adjacent lung atelectasis .,,,,,1,,,,1,,1,,,
"opacity in the basal left hemithorax is present , consistent with multisegmental atelectasis and / or consolidation .",,,,,1,,1,,1,,,,,
"opacity in the basal left hemithorax may represent a combination of consolidation , atelectasis , and left pleural fluid .",,,,,1,,-1,,-1,,-1,,,
opacity in the basal left hemithorax may represent a combination of left pleural fluid and adjacent multisegmental atelectasis and / or consolidation .,,,,,1,,-1,,1,,1,,,
"opacity in the basal left hemithorax may represent a combination of multisegmental atelectasis , consolidation , and / or pleural fluid .",,,,,1,,-1,,-1,,-1,,,
opacity in the basal left hemithorax may represent a combination of pleural fluid and adjacent lung consolidation or atelectasis .,,,,,1,,1,,-1,,-1,,,
opacity in the basal right hemithorax is consistent with pleural fluid .,,,,,1,,,,,,1,,,
opacity in the basal right hemithorax likely represents a combination of right pleural fluid and adjacent lung consolidation or atelectasis .,,,,,1,,1,,-1,,1,,,
"opacity in the base of the left hemithorax may represent a combination of multisegmental atelectasis and / or consolidation , and / or pleural fluid .",,,,,1,,-1,,-1,,-1,,,
opacity in the left hemithorax is likely a skin fold .,,,,,1,,,,,,,,,
opacity in the left lung base could represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
opacity in the left suprahilar lung is consistent with a mass .,,,,1,1,,,,,,,,,
opacity in the lower right thorax may represent a loculated pneumothorax .,,,,,1,,,,,-1,,,,
opacity in the medial-basal right hemithorax may represent a loculated pleural fluid .,,,,,1,,,,,,-1,,,
opacity in the right cardiophrenic angle .,,,,,1,,,,,,,,,
"opacity in the right hemithorax silhouetting the right hemidiaphragm , maybe due to atelectasis , consolidation , or mass .",,,,-1,1,,-1,,-1,,,,,
opacity in the right lower lung could represent fluid within the fissure and / or atelectasis .,,,,,1,,,,-1,,,,,
opacity in the right lung base likely represents compressive atelectasis .,,,,,1,,,,1,,,,,
opacity in the right mid lung is consistent with fluid in a fissure .,,,,,1,,,,,,,,,
"opacity in the right superior paratracheal mediastinum , at the level of thoracic inlet , is present , and may represent a goiter .",,1,,,1,,,,,,,,,
opacity is present in the right lower lung consistent with segmental consolidation .,,,,,1,,1,,,,,,,
opacity is questionably present in the basal left hemithorax and may represent a combination of left pleural fluid and adjacent lung atelectasis or consolidation .,,,,,1,,-1,,1,,-1,,,
"opacity obscuring the left hemidiaphragm , maybe due to consolidation .",,,,,-1,,-1,,,,,,,
"opacity occupying the mid and basilar left hemithorax with findings of volume loss , suggestive of multilobar atelectasis .",,,,,1,,,,1,,,,,
opacity overlying the right chest likely represents overlying soft tissue .,,,,,1,,,,,,,,,
opacity projecting over the lateral left hemithorax may be due to superposition of osseous structures although is indeterminate .,,,,,1,,,,,,,,,
opacity projects over the left lung base .,,,,,1,,,,,,,,,
opacity throughout the visualized portions of the right lung may represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
opacity with associated volume loss in the right upper lung may represent a combination scarring and consolidation .,,,,,1,,1,,,,,,,
"opacity within the basilar right hemithorax with curvilinear superior margin may represent a subpulmonic pleural effusion , parenchymal opacity .",,,,,1,,,,,,-1,,,
"opacity within the left lung base , possibly cavitary .",,,,,1,,,,,,,,,
orthopedic hardware is present in the lower cervical spine and lower thoracic / upper lumbar spine .,1,,,,,,,,,,,,,1
osseous structures are normal .,1,,,,,,,,,,,,,
"otherwise , normal cardiomediastinal silhouette .",1,0,,,,,,,,,,,,
"otherwise , normal chest radiograph .",1,,,,,,,,,,,,,
"otherwise , visualized support devices are unremarkable in appearance .",1,,,,,,,,,,,,,0
overlapping soft tissue density limits evaluation of the left lung base .,,,,,,,,,,,,,,
overlying asymmetry of the breast shadows .,1,,,,,,,,,,,,,
overlying clothing artifact .,1,,,,,,,,,,,,,
overlying pacing device .,1,,,,,,,,,,,,,1
overlying soft tissue is probably present .,1,,,,,,,,,,,,,
overlying soft tissue limits evaluation .,1,,,,,,,,,,,,,
overlying support apparatus .,1,,,,,,,,,,,,,1
ovoid density projecting over the inferior mediastinum may represent cardiac chamber enlargement or hiatal hernia .,,1,,,,,,,,,,,,
ovoid density projects over the subaortic mediastinum and may represent calcified lymph node or surgical material .,,1,,,,,,,,,,,,
ovoid radiodensities projecting over the left hilum and mediastinal silhouette likely represent lymph nodal calcifications .,,1,,,,,,,,,,,,
oxygen mask overlies the lung apices .,1,,,,,,,,,,,,,
pacemaker device is present with lead tip in the right atrial appendage and right ventricular apex .,1,,,,,,,,,,,,,1
pacemaker lead also present in a peripheral coronary vein .,1,,,,,,,,,,,,,1
pacemaker leads are located in right atrial appendage and right ventricle .,1,,,,,,,,,,,,,1
pacemaker leads are located in right atrium and right ventricle .,1,,,,,,,,,,,,,1
"pacemaker leads are located in the right atrial appendage , right ventricle and a coronary vein .",1,,,,,,,,,,,,,1
"pacemaker leads are located in the right atrial appendage , right ventricle and coronary vein .",1,,,,,,,,,,,,,1
pacemaker leads are located in the right atrial appendage and right ventricle .,1,,,,,,,,,,,,,1
"pacemaker leads are located in the right atrium , right ventricle , and coronary vein .",1,,,,,,,,,,,,,1
pacemaker leads are located in the right atrium and right ventricle .,1,,,,,,,,,,,,,1
pacemaker leads are located in the right ventricle and coronary vein .,1,,,,,,,,,,,,,1
pacemaker with lead tips in appropriate position .,1,,,,,,,,,,,,,1
paramediastinal parenchymal opacities versus enlarged superior mediastinal contour .,,1,,,1,,,,,,,,,
"parenchymal opacities in the left mid and lower lung , and smaller subsegmental-sized opacities in the right lung base .",,,,,1,,,,,,,,,
parenchymal opacity in the left lung base may represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
parenchymal opacity in the right lung base .,,,,,1,,,,,,,,,
parenchymal opacity in the right lung base may represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
parenchymal opacity projecting over the right upper lung and right lung base may represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
parenchymal opacity projects over the right lung base near the pleural pigtail catheter .,,,,,1,,,,,,,,,1
parenchymal opacity within the aerated portions of the right lung .,,,,,1,,,,,,,,,
parenchymal opacity within the right mid and lower lung .,,,,,1,,,,,,,,,
partial absence of the posterior arch of right fourth rib is present .,1,,,,,,,,,,,,,
partial resection of right upper ribs .,1,,,,,,,,,,,,,
partial visualization of bilateral shoulder arthroplasties .,1,,,,,,,,,,,,,1
partial visualization of fusion hardware in the cervical spine .,1,,,,,,,,,,,,,1
partial visualization of fusion hardware in the lower cervical and upper thoracic spine .,1,,,,,,,,,,,,,1
partial visualization of fusion hardware in the lumbar spine .,1,,,,,,,,,,,,,1
partial visualization of medullary rod in the right humerus .,1,,,,,,,,,,,,,
partial visualization of shoulder arthroplasties .,1,,,,,,,,,,,,,1
partially gas-filled loops of large bowel project under the right hemidiaphragm .,1,,,,,,,,,,,,,
partially obscured mediastinum otherwise appears unremarkable .,1,0,,,,,,,,,,,,
partially visualized cardiac silhouette is within normal .,1,,0,,,,,,,,,,,
partially visualized catheter projects over the upper abdomen .,1,,,,,,,,,,,,,1
partially visualized catheter tubing projecting over the mid thorax and may represent mediastinal drains or are external .,1,,,,,,,,,,,,,1
partially visualized catheter tubing projects over the left abdomen .,1,,,,,,,,,,,,,1
partially visualized catheter tubing projects over the mid left abdomen .,1,,,,,,,,,,,,,1
partially visualized cervical acdf .,1,,,,,,,,,,,,,
partially visualized cervical spine fixation hardware .,1,,,,,,,,,,,,,1
